LR: 0.1, DF: 0, DRT: 0.001
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
[Epoch 059/100]	Epsilon:0.2071	#Expl.:939/4299	#Buy:592	#Sell:2507	#Hold:1200	#Stocks:  0.005126	PV:   5215.34	POS:495	NEG:3218	Loss:  0.044172
[Epoch 060/100]	Epsilon:0.2020	#Expl.:931/4299	#Buy:323	#Sell:2464	#Hold:1512	#Stocks:  0.002357	PV:   5139.09	POS:584	NEG:3030	Loss:  0.048361
[Epoch 061/100]	Epsilon:0.1970	#Expl.:831/4299	#Buy:763	#Sell:1162	#Hold:2374	#Stocks:  0.398845	PV:   6360.92	POS:1126	NEG:1964	Loss:  0.070121
[Epoch 062/100]	Epsilon:0.1919	#Expl.:810/4299	#Buy:3239	#Sell:405	#Hold:655	#Stocks:  0.413810	PV:   3038.71	POS:1723	NEG:781	Loss:  0.068265
[Epoch 063/100]	Epsilon:0.1869	#Expl.:805/4299	#Buy:405	#Sell:3483	#Hold:411	#Stocks:  0.000000	PV:   5937.91	POS:207	NEG:3761	Loss:  0.028256
[Epoch 064/100]	Epsilon:0.1818	#Expl.:780/4299	#Buy:2398	#Sell:1503	#Hold:398	#Stocks:  0.560720	PV:   3602.82	POS:1150	NEG:1890	Loss:  0.054529
[Epoch 065/100]	Epsilon:0.1768	#Expl.:809/4299	#Buy:2146	#Sell:1861	#Hold:292	#Stocks:  0.000000	PV:   4263.90	POS:1058	NEG:2074	Loss:  0.037256
[Epoch 066/100]	Epsilon:0.1717	#Expl.:739/4299	#Buy:3083	#Sell:872	#Hold:344	#Stocks:  0.000000	PV:   3494.03	POS:1513	NEG:1214	Loss:  0.058469
[Epoch 067/100]	Epsilon:0.1667	#Expl.:736/4299	#Buy:1190	#Sell:1260	#Hold:1849	#Stocks:  0.000000	PV:   4837.69	POS:1181	NEG:1910	Loss:  0.063434
[Epoch 068/100]	Epsilon:0.1616	#Expl.:692/4299	#Buy:1893	#Sell:1691	#Hold:715	#Stocks:  0.271665	PV:   4911.87	POS:1018	NEG:2179	Loss:  0.050087
[Epoch 069/100]	Epsilon:0.1566	#Expl.:702/4299	#Buy:541	#Sell:1329	#Hold:2429	#Stocks:  0.000000	PV:   6454.37	POS:1051	NEG:2141	Loss:  0.063869
[Epoch 070/100]	Epsilon:0.1515	#Expl.:651/4299	#Buy:326	#Sell:2552	#Hold:1421	#Stocks:  0.985814	PV:   6299.42	POS:486	NEG:3192	Loss:  0.044331
